cont,pkts,class,proto,dport,lbanda,duracao,pkt_soma_tam,pkt_maior_tam,pkt_menor_tam,pkts_por_seg,1stq_pkt_tam,3rdq_pkt_tam,pkt_tam_media,pkt_tam_mediana,pkt_tam_std,pkts_maiores_media,pacotes_menores_media,payload_soma,payload_menor,payload_maior,payload_media,payload_std,payload_menor_128,payload_entre128_1024,payload_maior_1024,1stq_payload_tam,3rdq_payload_tam,IAT_menor,IAT_maior,IAT_soma,IAT_media,IAT_maiores_media,IAT_menores_media,IAT_std,1stq_IAT,3rdq_IAT,tcp_push_flags,tcp_urg_flags,tcp_syn_flags,tcp_fin_flags,tcp_rst_flags,tcp_ack_flags,tcp_flags,header_tam_soma,header_tam_media,header_tam_std
2769,15,besteffort,0,0.07631036850537881,0.1443850267379679,0.00006981333333333333333333333333,1.008,1.008,1.008,0.1432391138273491,1.008,1.008,1.008,1.008,0.0,0.0,1.0,0.98,0.98,0.98,0.98,0.0,0.0,0.0,1.0,0.98,0.98,0.0000728,0.0000766,0.00006981333333333333333333333333,0.000748,0.5333333333333333,0.4,7.819389819088005e-07,0.0000744,0.000075,0,0,0,0,0,0,0,0.2,0.2,0.0
2770,15,besteffort,0,0.07631036850537881,0.14441260744985676,0.0000698,1.008,1.008,1.008,0.14326647564469913,1.008,1.008,1.008,1.008,0.0,0.0,1.0,0.98,0.98,0.98,0.98,0.0,0.0,0.0,1.0,0.98,0.98,0.0000744,0.0000755,0.0000698,0.0007478571428571428571428571429,0.5333333333333333,0.4,2.641891715558133e-07,0.0000746,0.0000749,0,0,0,0,0,0,0,0.2,0.2,0.0
2771,15,besteffort,0,0.07631036850537881,0.1444954128440367,0.00006976,1.008,1.008,1.008,0.14334862385321104,1.008,1.008,1.008,1.008,0.0,0.0,1.0,0.98,0.98,0.98,0.98,0.0,0.0,0.0,1.0,0.98,0.98,0.0000732,0.0000763,0.00006976,0.0007474285714285714285714285714,0.4,0.5333333333333333,6.287337452761539e-07,0.0000745,0.000075,0,0,0,0,0,0,0,0.2,0.2,0.0
2772,15,besteffort,0,0.07631036850537881,0.14444019870080246,0.00006978666666666666666666666667,1.008,1.008,1.008,0.14329384791746275,1.008,1.008,1.008,1.008,0.0,0.0,1.0,0.98,0.98,0.98,0.98,0.0,0.0,0.0,1.0,0.98,0.98,0.0000735,0.0000768,0.00006978666666666666666666666667,0.0007477142857142857142857142857,0.4666666666666667,0.4666666666666667,8.530856358190637e-07,0.000074,0.0000753,0,0,0,0,0,0,0,0.2,0.2,0.0
2773,15,besteffort,0,0.07631036850537881,0.14431612102701155,0.00006984666666666666666666666667,1.008,1.008,1.008,0.14317075498711462,1.008,1.008,1.008,1.008,0.0,0.0,1.0,0.98,0.98,0.98,0.98,0.0,0.0,0.0,1.0,0.98,0.98,0.0000735,0.0000761,0.00006984666666666666666666666667,0.0007483571428571428571428571429,0.4,0.5333333333333333,6.735907435497599e-07,0.0000744,0.0000753,0,0,0,0,0,0,0,0.2,0.2,0.0
2774,15,besteffort,0,0.07631036850537881,0.14373989922996483,0.00007012666666666666666666666667,1.008,1.008,1.008,0.14259910637893336,1.008,1.008,1.008,1.008,0.0,0.0,1.0,0.98,0.98,0.98,0.98,0.0,0.0,0.0,1.0,0.98,0.98,0.0000738,0.0000803,0.00007012666666666666666666666667,0.0007513571428571428571428571429,0.26666666666666666,0.6666666666666666,1.5591239036519115e-06,0.0000744,0.0000752,0,0,0,0,0,0,0,0.2,0.2,0.0
2775,15,besteffort,0,0.07631036850537881,0.1445092229762019,0.00006975333333333333333333333333,1.008,1.008,1.008,0.14336232438115262,1.008,1.008,1.008,1.008,0.0,0.0,1.0,0.98,0.98,0.98,0.98,0.0,0.0,0.0,1.0,0.98,0.98,0.0000736,0.0000767,0.00006975333333333333333333333333,0.0007473571428571428571428571429,0.4666666666666667,0.4666666666666667,7.147498492051435e-07,0.0000742,0.000075,0,0,0,0,0,0,0,0.2,0.2,0.0
2776,15,besteffort,0,0.07631036850537881,0.14437124033228302,0.00006982,1.008,1.008,1.008,0.14322543683758235,1.008,1.008,1.008,1.008,0.0,0.0,1.0,0.98,0.98,0.98,0.98,0.0,0.0,0.0,1.0,0.98,0.98,0.0000742,0.0000753,0.00006982,0.0007480714285714285714285714286,0.4,0.5333333333333333,3.6147374082514274e-07,0.0000745,0.0000752,0,0,0,0,0,0,0,0.2,0.2,0.0
2777,15,besteffort,0,0.07631036850537881,0.1444954128440367,0.00006976,1.008,1.008,1.008,0.14334862385321104,1.008,1.008,1.008,1.008,0.0,0.0,1.0,0.98,0.98,0.98,0.98,0.0,0.0,0.0,1.0,0.98,0.98,0.000074,0.0000757,0.00006976,0.0007474285714285714285714285714,0.4666666666666667,0.4666666666666667,4.2039825627320455e-07,0.0000745,0.0000749,0,0,0,0,0,0,0,0.2,0.2,0.0
2778,15,besteffort,0,0.07631036850537881,0.1445092229762019,0.00006975333333333333333333333333,1.008,1.008,1.008,0.14336232438115262,1.008,1.008,1.008,1.008,0.0,0.0,1.0,0.98,0.98,0.98,0.98,0.0,0.0,0.0,1.0,0.98,0.98,0.0000709,0.0000766,0.00006975333333333333333333333333,0.0007473571428571428571428571429,0.6666666666666666,0.26666666666666666,1.2361270986761971e-06,0.0000747,0.0000749,0,0,0,0,0,0,0,0.2,0.2,0.0
2779,15,besteffort,0,0.07631036850537881,0.1443574565590987,0.00006982666666666666666666666667,1.008,1.008,1.008,0.14321176245942333,1.008,1.008,1.008,1.008,0.0,0.0,1.0,0.98,0.98,0.98,0.98,0.0,0.0,0.0,1.0,0.98,0.98,0.0000744,0.0000753,0.00006982666666666666666666666667,0.0007481428571428571428571428571,0.4,0.5333333333333333,2.8499910490371433e-07,0.0000746,0.000075,0,0,0,0,0,0,0,0.2,0.2,0.0
2780,15,besteffort,0,0.07631036850537881,0.14442640175757,0.00006979333333333333333333333333,1.008,1.008,1.008,0.14328016047377973,1.008,1.008,1.008,1.008,0.0,0.0,1.0,0.98,0.98,0.98,0.98,0.0,0.0,0.0,1.0,0.98,0.98,0.0000732,0.0000761,0.00006979333333333333333333333333,0.0007477857142857142857142857143,0.4666666666666667,0.4666666666666667,8.419183633893758e-07,0.0000746,0.0000754,0,0,0,0,0,0,0,0.2,0.2,0.0
